Number,Title,Default_Spirits,Mandatory_Spirits,Mandatory_Aspects,Restricted_Spirits,Restricted_Aspects,Adversary,Board_Setup,Game_Effects,Description,Victory_Text,Unlocks
35,Mist and Smoke,"Volcano Looming High, Shroud of Silent Mist",(none),,Vengeance as a Burning Plague,,Scotland,Standard,"Invader cards are face-down outside of the invader phase. This does not affect gameplay, it simply makes it harder for players to remember where invaders will act next.

When beasts / invaders / Dahan is gathered, instead of moving it to the target land, move it up by two lands (so an invader in land #5 would end up in land #7 of the same board). If it is in land #7, move it to land #8. Gather has no effect on beasts / invaders / Dahan in land #8.

When beasts / invaders / Dahan are pushed, instead of choosing the land to push it, instead move it down by two lands (so an invader in land #5 would end up in land #3 of the same board). If it is in land #2, move it to land #1. Push has no effect on beasts / invaders / Dahan in land #1.","It takes a long while for Volcano Looming High to understand, but eventually it realises that the mist responds to its smoke. It is a primitive means of communication, but enough for spirits to understand each other.
It does have a major drawback, for the entire island becomes clouded and none can see much. Who's to tell where Dahan and invaders are?","Confused by the lack of visibility and angered by the damage it senses to its precious mountains, now being mined for ore that does not exist in the first place, Volcano Looming High senses its anger burning hot. It has always been a short temper, but never has it felt a need of retribution on this scale before.
It can sense its belly burn, ready to erupt in a cataclysm that would ravage the entire island. At least, it would wipe the invaders clean.",Scenario #32
36,ASPECT of Reach,(none),"Keeper of the Forbidden Wilds, Shadows Flicker Like Flame",Reach,All other spirits,,Sweden,Fragment,"Use Powers Long Forgotten default scenario.
Additional loss condition: invaders discover all sources of power.
Spirits do not benefit from the first source of power they find.","There are many secrets hidden deep within the Wilds. Most are better left untouched; however the situation calls for the unveiling of one of them: a secret part of the island, secluded from the rest of the island, where the Shadows always seem unnaturally long. Dahan living there are often silent, as if entire villages were composed of mute villagers. It is a bizarre place, forgotten by most...","Shadows Flicker Like Flame took shape without warning, searched the area restlessly and frantically, and disappeared without a word. Keeper of the Forbidden Wilds leaves in turn: it knows better than to expect thanks from such an alien spirit. Hopefully, some good will come out of this endeavour.","If you won during your first game, unlock Shadows Flicker Like Flame's Reach aspect.
If you won during your second game, instead reveal Artifact #53.
Regardless of the outcome, unlock Scenario #10."
37,Preparing for Guests,"Lure of the Deep Wilderness, Shifting Memory of Ages",(none),,Finder of Paths Unseen,,Russia,Standard,Use Ward the Shores default scenario,"News is slow to reach the centre of the island, but on the Pathmaker's wings, they do eventually reach even the farthest corners of the island: spirits are to gather at a nearby location. There, they are to discuss the presence of invaders, and exchange stories and strategies. It is an event of an unprecedented scope, and an opportunity to meet spirits from far and wide. With the Pathmaker busy informing spirits from all over the island, it is up to Lure of the Deep Wilderness and Shifting Memory of Ages to ensure the invaders will cause as little trouble as possible. Setting up a barrier on the shore is bound to be a good first step.","The Pathmaker comes back with news from the North-West: spirits there are seeking aspects of themselves solidified in sources of power. It would be a good opportunity to help them find what they seek.
Shifting Memory of Ages pensively steps back from those conversations: it thinks it may recall a way to help them all... only, it can't seem to fully remember what it was all about.","Scenario #4, #50 and #66"
38,AFFINITY - Spirits of beasts big and small,(none),"Sharp Fangs Behind the Leaves, Many Minds Move as One",,All other spirits,,Russia,Standard,Use Despicable Theft default scenario,"When invaders decide to hunt down game on the island, it is only a matter of time before the beasts decide to hunt back. When invaders decide to run away with whichever treasure they managed to find, hunters become the hunted.","As invaders run away, they are bound to bring tales with them. Hopefully the tales of swarming and lurking beasts will outweigh any tales of treasures left on the island.","If you won during your first game, reveal Artifact #29 and Artifact #42.
If you won during your second game, only reveal Artifact #42."
39,A Lesson from the Elements,"Starlight Seeks its Form, Fractured Days Split the Sky, Stone's Unyielding Defiance",(none),,(none),,Habsburg,Top to top,Use Elemental Invocation default scenario.,"Starlight Seeks its Form is being offered a second opportunity to define itself: to greet the Elements themselves. As expected, invaders decide to meddle with the meeting, but perhaps this, too, could be turned into a teachable moment?","Their meeting with the Elements completed, spirits move on to their last lesson, one they themselves had to learn during either the First or Second Reckoning.","If you won (either during your first or second game), reveal Artifact #47.
Regardless of the outcome, unlock Scenario #82."
40,French showdown,(none),"Grinning Trickster Stirs Up Trouble, Downpour Drenches the World, Many Minds Move as One",,All other spirits,,France,Thematic Map East and South-East,"If you have used Flag #7, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.
If you have used Flag #8, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.

Use Despicable Theft default scenario","As the spirits arrive, invaders are already in the process of packing up and leaving. It appears they hope to bring home with them some of the objects they managed to steal during their expeditions on the island.","As spirits watch French ships depart, it appears the night sky itself reaches down to touch the Southmost part of the island.",Scenario #13
41,Overclocked,"Finder of Paths Unseen, Fractured Days Split the Sky",(none),,"Lightning's Swift Strike, Shadows Flicker Like Flame, Shifting Memory of Ages, Lure of the Deep Wilderness",,Russia,Fragment,Use Blitz default scenario,"As the legend goes, the collaboration of Lightning's Swift Strike and the Pathmaker resulted in such a frantic hurry that time itself got spun around, and forgot its usual pace to try to match theirs. Dahan appealed to spirits, asking them to let time return to its original pace. The Pathmaker, feeling responsible for the event, answered. A spirit made out of time itself did, too.",Spirits fixed their mistakes and time went back to its original flow. It was time to go back to the core of the island: there was still much to do before the great reunion of spirits could begin.,Scenario #16
42,AFFINITY - Spirits of Wisdom Rooted in Stone,(none),"Vital Strength of the Earth, Shifting Memory of Ages",,All other spirits,,Sweden,Standard,Use Guard the Isle's Heart default scenario.,"Such spirits as Vital Strength of the Earth and Shifting Memory of Ages are not easily brought into direct action. However, when invaders known for pillaging the land get too close to the heart of the island, they do not hesitate to spring into action.","As the proverb goes, it is difficult to get a boulder rolling; however it is significantly more difficult to stop a rolling boulder. Perhaps invaders will learn something from this encounter.","If you won during your first game, reveal Artifact #6 and Artifact #58.
If you won during your second game, only reveal Artifact #6."
43,Madness Spreads Far and Wide,"A Spread of Rampant Green, Sharp Fang Behind the Leaves",(none),,"Shadows Flicker Like Flame, Bringer of Dreams and Nightmares",,England,Fragment,"Play with Dahan Insurrection default scenario. In addition, whenever an action moves a Beasts token, it inflicts 1 damage to both invaders and Dahan in the land in which it finishes its movement.","Dahan and beasts alike roam mad. Someone is bound to get hurt, and there is no preventing it... but perhaps there is a way to use the situation to the spirits' advantage? Sadly, the invaders are taking heed of the situation, and have already called for reinforcements.
Bringer of Dreams and Nightmares, delighted by the situation, chooses to let events unfold without interfering.","As time passes, it becomes increasingly clear that time alone will not make the Madness go away. It does, however, scare away most of the invaders, buying a bit of time for the spirits. In this lull, Sharp Fangs Behind the Leaves' voice is once again heard: there are more artifacts to be uncovered. A Spread of Rampant Green hesitates: they cannot afford Pandemonium with this situation on their hands.
Quite the contrary, reassures Sharp Fangs Behind the Leaves' voice. This one is bound to bolster everyone's Resilience.",Scenario #27
44,ASPECT of Sunshine,"Starlight Seeks its Form, Shattered Days Split the Sky",River Surges in Sunlight,Sunshine,(none),,Habsburg,Standard,"Use Powers Long Forgotten default scenario.
Additional loss condition: invaders discover all sources of power.
Spirits do not benefit from the first source of power they find.","Sun's lost ray of Sunshine fell on the island, however the impact was such that it got buried under the earth, its light hidden from view. This did not stop everyone in the area from looking for it, from spirits to invaders. It is only a matter of time before someone finds it...","Finding rays of Sunshine is extremely rare, and such happenstance needs spirits' undivided attention. However, invaders have the luxury of large groups; that is, they can both look for rare artifacts and try to take over islands at the same time. Their search completed, spirits hurry back to meet with Stone's Unyielding Defiance: the defense of the island cannot wait any longer.","If you won during your first game, unlock River Surges in Sunlight's Sunshine aspect.
If you won during your second game, instead reveal Artifact #21.
Regardless of the outcome, unlock Scenario #77."
45,Rumours Rattle the Leaves,(none),"A Spread of Rampant Green, Keeper of the Forbidden Wilds",,All other spirits,,Sweden,Archipelago,"Oceans count as coastal wetlands for all purposes for this game. The gap between boards counts as a single land representing the ocean, so going from one board to the next takes a range of 2: First board's ocean (now wetlands) -> space between boards (now ocean) -> other board's ocean (now wetlands).

Additional victory condition: both spirits must have a sacred site on the same land, on the board where Keeper of the Forbidden Wilds started.","A Spread of Rampant Green chooses a point where the river separating its island from its South-Eastern neighbour is as thin as possible. There, it may be able to cross without too much hassle. Sadly, the invaders have already started exploring the area, and the low bedrock of the river offers them additional opportunities to build.","The warnings A Spread of Rampant Green brings forth among its leaves mingle within the Wilds protected by the Keeper, and an understanding emerges: a Child is to be woken. With its slow, monumental presence, Keeper of the Forbidden Wilds leaves the jungles where it usually dwells, heading toward the coast, where the Thunder still roars.",Scenario #6
46,A Secret Plan,All spirits,(none),,(none),,Brandenburg-Prussia,Standard,"Use Ward the Shores default scenario.

From this scenario onward, you will calculate your score differently. This score will be referred to as your FINAL SCORE.
For each scenario you win during your first game, score 2 points.
For each scenario you win during your second game, score 1 point.
For each scenario you lose, score 0 points.
AFFINITY scenarios, CHILD OF THE VOLCANO AND THE GREEN scenarios and BENEATH THE ARCHIPELAGO scenarios do not improve your FINAL SCORE, but may still be played to unlock new artifacts or new spirits, or as opportunities to Master spirits.
Unlocking new spirits or Mastering spirits is still possible, but it does not increase your FINAL SCORE.","During the gathering, Many Minds Move as One revealed what it learned from its exchange with Weaves a Web of Souls: that the latter is the reason for their unquenchable greed and nerves of steel, and part of the reason they kept on coming back: by weaving together the souls of so many invaders, those on the island get to share all the enthusiasm, all the greed of those left behind. This, explains Many Minds Move as One with many beaks and many muzzles, has been their strength so far, and will also be their downfall.
Stalker of Hidden Secrets saw a fragment of Will-Be when Moon and Sun collided, and that knowledge echoed in time, in such a way that it was aware of the arrival of the invaders long before the first sail emerged on the horizon. Armed with such knowledge, it approached Hearth-Vigil and Weaves a Web of Souls with a plan:
For the invaders to leave and never come back, it would not be sufficient for a small group of invaders to be pushed away; their tales of horror would only amuse courageous explorers back where they came from, and inevitably, more would follow, again and again, until spirits ultimately fail to protect the island. However, if there was a way for those invaders, comfortably safe back home, to feel the fear and despair of those who came to the island, then hopefully, they would stop coming.
Hearth-Vigil gave the invaders the drive and courage to go to the island in droves, while Weaves a Web of Souls gathered as many invaders as it could in its Web. Now that the Web is large enough, all it would take to send the fear reverberating all the way to the invaders' home country would be a massive blow, affecting all invaders at once: a feeling that they are not welcome anywhere past their borders, for as long as they plan on colonizing new lands.
Stalker of Hidden Secrets reveals the location of an island near the archipelago, one unknown to spirits and sparsely inhabited by Dahan, that invaders used as a stepping stone to the rest of the archipelago. This is where spirits must now go, in a coordinated movement, to defend their island.
One last thing to do before leaving: ensuring invaders to not settle in while they are away.","A temporary barrier in place, spirits prepare to depart to this new island. Organised in small groups, they are each tasked to bring the fight to the adversary they know best, to rid the archipelago of invaders once and for all.",Scenario #76
47,CHILD OF THE VOLCANO AND THE GREEN: A Path out of the Wilderness,(none),Finder of Paths Unseen,,"Keeper of the Forbidden Wilds, Lure of the Deep Wilderness, Ocean's Hungry Grasp, Volcano Looming High",,Habsburg,Standard,"At the end of every turn, in each coastal land, move all invaders, beasts, Dahan and spirit presence to an inland land (unless the land is isolated).
If the origin land contained invaders, add one explorer to that land (after having moved all other invaders).

Additional victory condition: there is a presence from either spirit in all coastal lands at the time of victory.

WARNING: Loss will result in the end of this side story.","Leaving the Deep Wilderness is not an easy task, not even for spirits. Fortunately, there is one who knows Paths Unseen - even paths out of the Deepest Wilderness. Its assistance may make it possible to leave; this does not mean it will make it easy. The presence of invaders only makes things worse.","Spirits eventually leave the island, disoriented and confused, to find themselves before what could easily be the tallest mountain in the entire archipelago. As they approach, the ground rumbles: if A Spread of Rampant Green was one parent, it appears they have found the other.","If you won (either during your first or second game), unlock scenario #100."
48,English Showdown,(none),"A Spread of Rampant Green, Sharp Fangs Behind the Leaves, Bringer of Dreams and Nightmares",,All other spirits,,England,Thematic Map North-West and North-East,"If you have used Flag #3, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.
If you have used Flag #4, unlock one spirit among the mandatory spirits for this scenario. If you have already unlocked them all, increase your FINAL SCORE by 1.

Use Guard the Isle's Heart default scenario.","England's reaction is much like Prussia's: they immediately seek shelter deep within the island, where they presumably still hope to establish their capital.","As the spirits complete their task of pushing back English invaders, the Thunder roars in the distance: the North-Eastern battle has already begun.",Scenario #85
49,ASPECT of Travel,(none),"River Surges in Sunlight, Ocean's Hungry Grasp",Travel,All other spirits,,Sweden,Archipelago,"Use Elemental Invocation default scenario.
The ocean from one board is adjacent to the ocean from the other board (therefore coasts are at range 3 from one another). 
Additional victory condition: River Surges in Sunlight must have presence on land #8 of both boards.","Other spirits believe aspects of your new selves can be found under the earth, roars Ocean's Hungry Grasp. I am certain there are other ways. Travel across the Ocean, and let the Elements show you the way.","Ocean's Hungry Grasp sighs with relief. Isn't this better than spending all one's time on the land? Now, the entire archipelago feels like it is within their Grasp.","If you won during your first game, unlock River Surges in Sunlight's Travel aspect.
If you won during your second game, instead reveal Artifact #4.
Regardless of the outcome, unlock Scenario #10."
50,A Memory of the Past,Finder of Paths Unseen,Shifting Memory of Ages,,"Lightning's Swift Strike, Shadows Flicker Like Flame, Lure of the Deep Wilderness",,Russia,Standard,"Use Rituals of Terror default scenario, with the following changes:
Spirits may perform the Ritual of Memories if:
-There is a land with a sacred site from each spirit
-The spirits collectively spend 4/6/10 energy
-Shifting Memory of Ages destroys 8/12/20 Element Markers
-Dahan presence is not required.
Upon performing the ritual of terror, Dahan are not pushed.","There is something that must be remembered; Shifting Memory of Ages knows this, but is unable to say more. Few spirits have been around long enough to help it; however it is said that the Pathmaker is one of the oldest of them all, despite its diminutive size. Shifting Memory of Ages asks for its help, to remember what was happening such a long time ago that almost the entire archipelago has forgotten about it, if they even knew in the first place.","Shifting Memory of Ages, feeling no different, expresses surprise.
Memories were far away, but they are on their way, explains the Pathmaker. Reuniting with such a memory is bound to take time. Thankfully, time itself appears to be in something of a hurry at the moment.",Scenario #93
51,Better Late than Never,"Thunderspeaker, Ocean's Hungry Grasp",Keeper of the Forbidden Wilds,,(none),,Sweden,Coastline,"Use Blitz default scenario.
On the first turn, Keeper of the Forbidden Wilds skips its growth phase. Gaining energy and playing cards is still done as usual.
On the second turn, it may play its growth phase twice.","By the time Keeper of the Forbidden Wilds leaves its isolation, the invaders are already well-encroached in the area, forcing the spirit to be uncharacteristically fast if the shores are to be protected.","As the invaders leave the shores, the spirits exchange among each other: by now, they know a few things. Invaders are approaching every shore in the archipelago. They are seeking something hidden deep within the archipelago, motivated by Hearth-Vigil's promise that what they are looking for may grant them invulnerability... and some spirits are seeking fragments of themselves scattered throughout the island, helping them reach new heights and take on new forms. It is of the latter that they discuss most, for each of them believe they may know of such fragments.
Keeper of the Forbidden Wilds mentions a secret whispered behind walls of ever-growing trees, which may help them Reach out to Hearth-Vigil.
Ocean's Hungry Grasp, uneasy with its prolonged presence on the shore, is eager to Travel, and believes it knows of a way to enable them to do so.
Thunderspeaker remembers a time when it was younger, and its parent was Immense in its eye. Surely some memorabilia has been left behind, loaded with the heaviness of years and memories shared?
However, if they were to leave, the shore would be left unprotected. Ocean's Hungry Grasp mentions River Surges in Sunlight's ritual, and its mitigated success. Keeper of the Wilds then offers to bolster the ritual with a touch of its own...",Scenario #73
52,Extinguish the Destroying Flame,"Volcano Looming High, Shroud of Silent Mist, Vengeance as a Burning Plague",(none),,(none),,France,Standard,Use Rituals of the Destroying Flame default scenario,"It doesn't take much convincing for Vengeance as a Burning Plague and Shroud of Silent Mist to make their way to the South-East of the Archipelago, where invaders are still using the object of power they stole from the Sun - and when they are put under attack, they do not hesitate to put this power to use.","Confronted by the anger of the spirits of destruction, more than willing to sacrifice everything, including themselves, to get rid of them, invaders stood little chance. Desperate, they attempt to flee to safer grounds, where they believe the spirits will be unable to follow.",Scenario #79
53,AFFINITY - Spirits of Intangible Perils,(none),"Lure of the Deep Wilderness, Shroud of Silent Mist",,All other spirits,,Russia,Standard,"Use Ward the Shores default scenario
When setting up the game, put Reaching Grasp on top of the minor powers deck.","Those spirits do not communicate; they simply exist, and in doing so, they represent a threat to all invaders. They were foolhardy to set foot on the island, and temerarious to venture deep into the land.
Perhaps now, the only thing worse than to be chased out of the island would be to be locked in, unable to leave.","Nothing is known of what happened to the invaders that were locked in the island by Lure of the Deep Wilderness and Shroud of Silent Mist. They were Never Heard From Again. Since then, it is believed that the island is cursed, and Dahan and invaders both avoid it as best they can.","If you won during your first game, reveal Artifact #9 and Artifact #25.
If you won during your second game, only reveal Artifact #25."
54,Those Left Behind,"Volcano Looming High, Shroud of Silent Mist",(none),,Vengeance as a Burning Plague,,Scotland,Standard,Use A Diversity of Spirits default scenario,"All spirits were invited to this great gathering; and as such, very few decided to stay behind. This was the case of Volcano Looming High. Some believe it was slighted by the lack of tall mountains at the place of the meeting; other people believe it refused to depart from its usual stomping grounds. Other people believe it was angered by actions related to one of its old rivals.
However, nobody dared to ask it directly.

Left behind alone on its island, Volcano Looming High prepares to face a new wave of invaders, only to realise that the fog forming at its base is unnatural - and there seems to be something, or someone, walking in the thickest of the mist. It tries to reach out to this strange apparition, but is met with silence.","Under the permanent fog, Volcano Looming High is having a hard time seeing what is happening. The only thing it knows is that the land it looked over for millennia is being ransacked, and deep within it, anger starts to grow.",Scenario #35
55,BENEATH THE ARCHIPELAGO: Feeding the Serpent,(none),Serpent Slumbering Beneath the Island,,Volcano Looming High,,Habsburg,Opposite Shores,"Terror levels are not earned via fear, but by the Ritual of Essence Consumption.
Do not resolve earned Fear Cards during the Invader Phase.
During either the fast or slow phase, Spirits may perform the Ritual of Essence Consumption if:
-There is at least one land with one presence from each spirit
-Serpent Slumbering Beneath the Island has 3 presence on its Deep Slumber track.
-spirits collectively spend 3 energy total

Upon performing the ritual:
-Earn the next Terror Level (this may be VICTORY on your third ritual)
-resolve all earned fear cards (at the new terror level)
-destroy 3 presence from Serpent Slumbering Beneath the Island's Deep Slumber track. The essence is considered destroyed, not removed from the game, and can be re-added to the board just like any other destroyed presence.
-If Serpent Slumbering Beneath the Island has more presence on the board than is now allowed, destroy the excessive presence.
WARNING: Loss will result in the end of this side story.","Is it wise to feed the Serpent? Will it, once again, start devouring islands until there is nothing left of the archipelago? Of course not, protests the Serpent. Only, it has not eaten since times immemorial, and if it is to help, it will need to absorb some essence...","The Serpent eats and eats, and eventually... it stops, apparently sated. Apparently, it intends on being true to its word when it said it will not eat the entire archipelago.
Slowly awakening, the Serpent promises its help in return for the freedom spirits have just granted to it.","If you won (either during your first or second game), unlock Serpent Slumbering Beneath the Island."
56,Despicable Theft,"Grinning Trickster Stirs Up Trouble, Downpour Drenches the World",(none),,"Many Minds Move as One, Bringer of Dreams and Nightmares",,France,Standard,Use Despicable theft default scenario,"Left to their own devices for too long, invaders appear to have found what they are looking for: already, they are hurrying back to their ship, an aura of victory emanating from them. Already present, Grinning Trickster Stirs Up Trouble is doing its best to prevent them from departing with the artifacts they seem to have stolen from the very core of the island... but it seems to be too little, too late.","In a most uncharacteristic manner, invaders depart, leaving spirits and Dahan alone on the shore. This can only mean one thing: they have found what they are looking for.
There is little to be done now but wait for the next wave of invaders, and try to thwart what new strategy they may have in store.",Scenario #94
57,Endless Night,(none),"A Spread of Rampant Green, Bringer of Dreams and Nightmares",,All other spirits,,England,Standard,"Invader cards are turned face-down outside the Invader phase. This does not affect gameplay, it only adds the difficulty of remembering the content of those cards during spirit and power phases.","The storm brought forth by Lightning's Swift Strike fades shortly after its departure, but the darkness remains. The rain stops, and the clouds clear away, and yet, as days turn into weeks, the supernatural night persists. Dahan say: “The newcomers have angered the Night”, and they are not far from the mark, for the dayless curse is the doing of Bringer of Dreams and Nightmares, displeased by the destruction the invaders have already caused.
However, in the darkness, invaders are not idle, and they ceaselessly keep trying to establish roots on the island.","Dawn finally breaks as Bringer of Dreams and Nightmares takes a more compact form, better suited for events to unfold. It approaches A Spread of Rampant Green with a question. Spirits dream just like Dahan, and in the dreams of four spirits, odd objects have started to appear. Perhaps those objects have been found somewhere in the Green?
It isn't so, replies A Spread of Rampant Green, but perhaps another spirit, one whose senses are sharper, could be of help? Drawing its attention shouldn't be too difficult...",Scenario #3
58,AFFINITY - Spirits of Storm and Rain,(none),"Lightning's Swift Strike, Downpour Drenches the World",,All other spirits,,Habsburg,Standard,Use Rituals of the Destroying Flame default scenario,"Lightning's Swift Strike and Downpour Drenches the World have always had affection for each other. Often, they would meet high up in the sky and gleefully dance for days and days.
Some would say the invaders' decision to use magic of their own is the reason they came back together again, but the truth is, they were just looking for an opportunity to start their dance anew.","The invaders regroup and hide under what is left of their towns and cities, unwilling to set a foot outside in the rain, as the Lightning keeps falling around them. Near them, Dahan celebrate and dance under the rain: such is their way to partake in the dance of the spirits of the Storm.","If you won during your first game, reveal Artifact #3 and Artifact #57.
If you won during your second game, only reveal Artifact #57."
59,Victory by Fear,(none),(none),,(none),,Brandenburg-Prussia,"Thematic Map North-West, West and South-West.
You may want to re-read rules regarding extra island boards (JE p. 18).","If you have not unlocked at least 2 spirits, immediately unlock Heart of the Wildfire and lower your FINAL SCORE by 1. If you have not unlocked a single spirit, also unlock Serpent Slumbering Beneath the Island, and lower your FINAL SCORE by 1 more.

You can only win by achieving Fear Level: VICTORY","Some spirits believe the best way to send a message is to leverage Weaves a Web of Souls' stratagem, and instill fear on such a level that invaders will never consider coming back. They prepare to unfold their strategy.","As invaders flee in disarray, spirits take a moment to celebrate: invaders are gone, and the horizon looks clear. Hopefully, this will be enough to keep the island safe until Will-Be becomes Was.","After completing both this scenario and Scenario #74, read Annex 5."
60,An invader seeks,"Bringer of Dreams and Nightmares, Sharp Fangs Behind the Leaves, Vital Strength of the Earth",(none),,"A Spread of Rampant Green, Keeper of the Forbidden Wilds",,England,Opposite Shores,Use Guard the Isle's Heart default scenario,"Vital Strength of the Earth offers to stay and help for a moment before returning to the defense of its own island. The invaders, true to its prediction, seem to aim for something located deep within the island. All spirits agree: they must not find what they are looking for.","The question remains in the air again, but this time, something akin to an answer is formulated. The sultry voice from Behind the Leaves mentions another Stalker, one who preys on Hidden Secrets. Surely this one could explain the invaders' odd behaviour.",Scenario #6
61,BENEATH THE ARCHIPELAGO: Origin story,(none),Volcano Looming High,,(none),,Brandenburg-Prussia,Standard,"Use Elemental Invocation default scenario.
Additional victory condition: a land where Volcano Looming High has at least 4 presences has an elemental marker on all corners.
WARNING: Loss will result in the end of this side story.","Few spirits were there from the beginning. Ocean's Hungry Grasp itself may have existed, but it wasn't prowling around. The Pathmaker is older than most, but it only started visiting the island once beasts migrated there. The oldest among all spirits to still be active today is probably Volcano Looming High. Maybe an offering to the mountain-spirit would put it in a good mood, and it would be inclined to share a few stories on the origin of the island?","According to its account, Volcano Looming High had many younger siblings, back then. They alone were standing tall above the ocean. One day, a Serpent came by, and tired of swimming, asked to rest upon their backs. They generously offered him a place to rest, but the Serpent soon became hungry. With nothing to eat for miles around, the Serpent decided to eat the smallest among them, and after having fed, it grew larger. As it grew, so did its hunger, so the Serpent ate the second smallest island. Once again, it grew, became hungry, and started eating all the islands
one after the other, from the smallest to the largest. In order to protect itself and its remaining siblings, Volcano Looming High decided to cast a veil of smoke in the eyes of the Serpent. Blinded and furious, the Serpent decided to protect itself by wrapping the earth around itself. When it did so, Volcano Looming High quickly turned the earth into a prison of stone, forever locking the Serpent beneath the archipelago.","If you won (either during your first or second game), unlock Scenario #7."
62,CHILD OF THE VOLCANO AND THE GREEN: Home of the Island's Heart,(none),Lure of the Deep Wilderness,,Keeper of the Forbidden Wilds,,Brandenburg-Prussia,Standard,"Use A Diversity of Spirits default scenario.
WARNING: Loss will result in the end of this side story.","Keeper of the Forbidden Wilds had spoken of another spirit, a child of the Volcano and the Green, sleeping somewhere on the archipelago. To reach it, spirits would first have to cross the Deepest Wilderness. This is a place odd spirits call their home; a place as enticing as it is alien... and dangerous, even for spirits. Visitors would be hard pressed to say whether the spirits residing in this environment are trying to help or hamper them. Regardless, to find the one they are looking for, they will have to go in...","Reaching the Deep Wilderness was the easy part; leaving it is another problem altogether. Spirits make their way, confident in the direction they chose, only to find themselves back where they started after hours, sometimes days. Mountains seem to shift place on the horizon; rivers change their course to confuse them, and jungles keep promising oh so plentiful rewards! All of a sudden, the Deep Wilderness seemed just as hostile as they seemed inviting.","If you won (either during your first or second game), unlock scenario #47."
63,Hunters of beasts,"Shifting Memory of Ages, Lure of the Deep Wilderness, Finder of Paths Unseen",(none),,(none),,Russia,Standard,Use Guard the Isle's Heart default scenario,"The very centre of the archipelago is hard to reach, both to invaders and spirits.
Invaders only interested in settling in go for easier to reach shores; those are interested in something different: it is said that the greatest among beasts dwell deep within the island, and it is the appeal that have Lured them so Deep.
Of spirits there are few: the first and most prominent being, of course, Lure of the Deep Wilderness, comfortable in this recluse kingdom. Beside it, Finder of Paths Unseen is known for passing by on its way to one destination or the next; the centre of the island is often one of its preferred routes. Finally, Shifting Memory of Ages has chosen those islands as its home, possibly because the islands, shielded from the ever-changing outside world, remind it of something it used to know, a long time ago...","Invaders still seek something deep within the island. Perhaps they hope to reinstate the ritual that gave them invulnerability, thinking that the second time around, it will work permanently, instead of working on rare occasions. Perhaps they have decided on a new ritual. Perhaps they h ave something else in mind entirely. Their objective is of little consequence: the destruction they cause along the way is alarming enough to convince most spirits that they must leave as soon as possible.",Scenario #37
64,A Rumor Among Dahan,(none),"Shadows Flicker Like Flame, Thunderspeaker",,All other spirits,,Sweden,Standard,Use the Dahan Insurrection default scenario,"Shadows Flicker Like Flame's curiosity got piqued by rumors circulating among the Dahan: rumors of another island, where they are invited to go help repel invaders in a much more direct manner. Certainly, something worth seeing. And what of this Thunderspeaker the Dahan are often speaking about? Perhaps it could help as well...","The aftermath of the confrontation is bloody, and there is nothing but sorrow on Thunderspeaker's human-looking face. As Shadows Flicker Like Flame approaches it, it speaks, its voice roaring like Thunder. It speaks of the arrivals of invaders, here too, at the other end of the archipelago. It speaks furiously, and as it speaks, the sky darkens. Shadows Flicker Like Flame leaves with more questions than answers.",Scenario #22
65,The Story of the Moon that Was Angry at the Sun,"Vital Strength of the Earth, Stone's Unyielding Defiance",Fractured Days Split the Sky,,Starlight Seeks its Form,,Habsburg,Coastline,Use The Great River default scenario.,"As the story goes, the Sun stayed up in the sky, unrelenting for two entire months. The Moon became offended with the Sun's presence, and in an attempt to take back its rightful place in the sky, it decided to ram itself into the Sun. The Sun is bigger and brighter than the Moon, so upon impact, the Moon shattered to pieces, while the Sun only lost a single beam of Sunshine. However, the impact was enough to push the Sun back over the horizon, and the Moon managed to get back its place in the Sky. It is said that since then, the Moon spends its time seeking pieces of itself and gathering them to become whole again, only to lose them over the course of the next few weeks and having to seek them all over again, repeating this cycle for ever and ever.
On the day of the impact, the story tells us that the entire Sky was Split, and the two celestial bodies, markers of time, Fractured the Days themselves. Pieces of Might-Have-Been flew back, in the Sky that Was, and there, caught Lightning's Swift Strike's attention, teaching it of the aspects it could take. Pieces of Will-Be flew back as well, and it is believed that it is Stalker of Hidden Secrets who managed to catch them.
On that day, invaders lost their invulnerability, though it is believed that they remembered a way to bring it back, only during daytime, and only for smaller groups.
As for Stone's Unyielding Defiance and Vital Strength of the Earth, they were trying to push back increasingly large groups of invaders when the Sky Fractured, and unexpected help came to their support.","The Sky kept on shaking from the impact for numerous weeks. It is said that a piece of Starlight, unable to hold on to the heavens, fell all the way down to the archipelago, in farmland almost entirely abandoned to the invaders. Were it not from Stone's Unyielding Defiance, it certainly would have dissolved.
New to the archipelago and the world as a whole, the newly formed spirit had little time to find its bearing before a new wave of invaders emerged on the horizon.",Scenario #2
